file,deleted
DEJWUM_extracted.pdb,Y
DEJXAT_extracted.pdb,Y
DEJXOI_extracted.pdb,Y
DEKJOS_extracted.pdb,N
DELDOQ_extracted.pdb,N
DELPUG_extracted.pdb,Y
DEMSEW_extracted.pdb,Y
DEMSIA_extracted.pdb,Y
DENJAI_extracted.pdb,Y
DENJEM_extracted.pdb,Y
DENPER_extracted.pdb,Y
DERGOX_extracted.pdb,Y
DERGUD_extracted.pdb,Y
DESJAN_extracted.pdb,Y
DETSIH_extracted.pdb,Y
DEVSAZ_extracted.pdb,N
DEVSAZ01_extracted.pdb,N
DEVSED_extracted.pdb,N
DEXGIW_extracted.pdb,Y
DEZDOB_extracted.pdb,Y
DHURID01_extracted.pdb,Y
DIBXUI_extracted.pdb,Y
DIBYAP_extracted.pdb,Y
DICKUY_extracted.pdb,Y
DICLAF_extracted.pdb,Y
DICRUC_extracted.pdb,N
DIFFUU_extracted.pdb,Y
DIRXAF_extracted.pdb,Y
DIRXEJ_extracted.pdb,Y
DIRXIN_extracted.pdb,Y
DIRXOT_extracted.pdb,Y
DISMOK_extracted.pdb,Y
DISQIG_extracted.pdb,Y
DISQIG01_extracted.pdb,Y
DISQOM_extracted.pdb,N
DITSAA_extracted.pdb,Y
DITSEE_extracted.pdb,Y
DITSII_extracted.pdb,N
DITSOO_extracted.pdb,N
DITSUU_extracted.pdb,N
DIVFAS_extracted.pdb,Y
DIVFEW_extracted.pdb,Y
DIVFIA_extracted.pdb,Y
DIVFOG_extracted.pdb,Y
DIVFUM_extracted.pdb,Y
DIVGAT_extracted.pdb,Y
DIVGEX_extracted.pdb,Y
DIVGIB_extracted.pdb,Y
DIVGOH_extracted.pdb,Y
DIVGOH01_extracted.pdb,Y
DIVPEE_extracted.pdb,Y
DIWJEA_extracted.pdb,Y
DIWLEA_extracted.pdb,Y
DIWLIE_extracted.pdb,Y
DIWLOK_extracted.pdb,Y
DIWLUQ_extracted.pdb,Y
DIWMAX_extracted.pdb,N
DIWMEB_extracted.pdb,Y
DIXKEB_extracted.pdb,Y
DIYTUC_extracted.pdb,Y
DIZDEX_extracted.pdb,N
DIZDIB_extracted.pdb,N
DIZDOH_extracted.pdb,N
DIZDUN_extracted.pdb,N
DIZFAV_extracted.pdb,N
DIZFEZ_extracted.pdb,N
DMABET10_extracted.pdb,Y
DMURAC_extracted.pdb,Y
DOADPA_extracted.pdb,M
DOBLOV_extracted.pdb,N
DOBLUC_extracted.pdb,Y
DOBNUF_extracted.pdb,Y
DOFQIA_extracted.pdb,N
DOFQOG_extracted.pdb,N
DOFQUM_extracted.pdb,N
DOFRAT_extracted.pdb,N
DOFREX_extracted.pdb,N
DOGGUD_extracted.pdb,N
DOGHAK_extracted.pdb,N
DOGLEQ_extracted.pdb,N
DOGZUW_extracted.pdb,N
DOHBAF_extracted.pdb,N
DOHBEJ_extracted.pdb,N
DOHBIN_extracted.pdb,N
DOHBOT_extracted.pdb,N
DOHBUZ_extracted.pdb,N
DOHCAG_extracted.pdb,N
DOHCEK_extracted.pdb,N
DOHXIJ_extracted.pdb,Y
DOJQAU_extracted.pdb,N
DOKLOF_extracted.pdb,Y
DONFER_extracted.pdb,Y
DONKIA_extracted.pdb,Y
DONKIA10_extracted.pdb,Y
DOPGEW_extracted.pdb,Y
DOPGIA_extracted.pdb,Y
DOPJEZ_extracted.pdb,N
DOPJID_extracted.pdb,N
DOQDAQ_extracted.pdb,N
DOQDEU_extracted.pdb,N
DOQDIY_extracted.pdb,N
