cif,deleted
AFEWUE_extracted.cif,Y
AFEWUG_extracted.cif,Y
AFEXAN_extracted.cif,Y
AFEXEP_extracted.cif,Y
AFEXER_extracted.cif,Y
AFEXIV_extracted.cif,Y
AFEXOZ_extracted.cif,Y
AFEYEQ_extracted.cif,Y
AFICAT_extracted.cif,M
AFIFAX_extracted.cif,Y
AFIFEB_extracted.cif,Y
AFIFIF_extracted.cif,Y
AFIFOL_extracted.cif,Y
AFIFOL01_extracted.cif,Y
AFIFUT_extracted.cif,Y
AFIGAY_extracted.cif,Y
AFIGED_extracted.cif,Y
AFIGON_extracted.cif,Y
AFIHIH_extracted.cif,Y
AFIHON_extracted.cif,Y
AFIHUT_extracted.cif,Y
AFIHUU_extracted.cif,Y
AFIJEF_extracted.cif,Y
AFIJEG_extracted.cif,Y
AFIJOQ_extracted.cif,Y
AFIJOQ01_extracted.cif,Y
AFIJUV_extracted.cif,N
AFIKEG_extracted.cif,Y
AFIKEH01_extracted.cif,Y
AFIKIK_extracted.cif,Y
AFILAF_extracted.cif,Y
AFILEJ_extracted.cif,Y
AFILIN_extracted.cif,Y
AFILOT_extracted.cif,Y
AFILUZ_extracted.cif,Y
AFIMAG_extracted.cif,Y
AFIMOR_extracted.cif,Y
AFINAG01_extracted.cif,Y
AFINEK_extracted.cif,Y
AFIPIQ01_extracted.cif,Y
AFIREP_extracted.cif,Y
AFIRUF01_extracted.cif,Y
AFISOY_extracted.cif,N
AFISUE_extracted.cif,N
AFITAL_extracted.cif,N
AFITUH_extracted.cif,N
AFIWIX_extracted.cif,Y
AFIYAR_extracted.cif,Y
AFIYIZ_extracted.cif,Y
AFIYOG_extracted.cif,Y
AFIYUM_extracted.cif,Y
AFIZAS_extracted.cif,Y
AFIZAT_extracted.cif,Y
AFIZIB_extracted.cif,Y
AFIZOH_extracted.cif,Y
AFIZUN_extracted.cif,Y
AFOBEF_extracted.cif,Y
AFOBUU_extracted.cif,Y
AFOCIK_extracted.cif,Y
AFOCOP_extracted.cif,Y
AFOCOQ_extracted.cif,Y
AFOFAF_extracted.cif,Y
AFOFEJ_extracted.cif,Y
AFOFIN_extracted.cif,Y
AFOFOT_extracted.cif,Y
AFOFUZ_extracted.cif,Y
AFOGAG_extracted.cif,Y
AFOGOU_extracted.cif,Y
AFOGOU01_extracted.cif,Y
AFOGOU02_extracted.cif,Y
AFOGOU03_extracted.cif,Y
AFOGOU04_extracted.cif,Y
AFOGOU05_extracted.cif,Y
