CIF,NAperUC
HUZYOS_extracted.cif,1220
HUZZAF_extractedm.cif,4166
IBUVAD_extracted.cif,204
IBUVEH_extracted.cif,204
ICALAA_extracted.cif,344
ICENOU_extracted.cif,248
ICENUA_extracted.cif,142
ICOVII_extracted.cif,986
ICOVOO_extracted.cif,978
ICOVUU_extracted.cif,1076
IDAHUS_extracted.cif,888
IDUTUY_extracted.cif,500
IDUVAG_extractedm.cif,2382
IDUVOV_extracted.cif,3124
IFAQUD_extracted.cif,3834
IFOMIB_extractedm.cif,9478
IFOMOH_extracted.cif,162
IFOXOQ_extracted.cif,698
IFUTIO_extracted.cif,778
IFUTOU_extracted.cif,1584
IFUTUA_extracted.cif,764
IFUVAI_extracted.cif,628
IFUVEM_extracted.cif,724
IGASER_extracted.cif,714
IGASIV_extracted.cif,714
ILAPOA_extracted.cif,410
IMOVUD_extracted.cif,196
IMOWAK_extracted.cif,218
IMOWEO_extracted.cif,109
IMUGAA_extracted.cif,3592
IMUGEE_extractedm.cif,2220
INERUO_extracted.cif,156
INUNUA_extracted.cif,814
IQANET_extracted.cif,474
IQUFIL_extractedm.cif,6070
IRANAS_extracted.cif,1342
IRIJEA_extracted.cif,95
IRIJIE_extracted.cif,426
ITIFIC_extracted.cif,440
IVEVOV_extracted.cif,1200
IXEBES_extracted.cif,196
IXENAA_extracted.cif,194
IXETIP_extracted.cif,392
IXIROX_extracted.cif,400
IXIRUD_extracted.cif,552
IXIXOE_extracted.cif,2326
IXUQAU_extracted.cif,182
IXUQEY_extracted.cif,192
IXUQIC_extracted.cif,200
IZOKAL_extracted.cif,474
IZOKEP_extracted.cif,226
JAFDUS_extracted.cif,1856
JAFFAA_extracted.cif,1760
JAJWAV_extracted.cif,872
JANFOT_extracted.cif,220
JANYUT01_extracted.cif,304
JANYUT_extracted.cif,1336
JANZAA01_extracted.cif,730
JANZAA_extracted.cif,1018
JANZEE01_extracted.cif,364
JANZEE_extracted.cif,376
JANZII01_extracted.cif,824
JANZII_extracted.cif,1004
JANZOO01_extracted.cif,848
JANZOO_extracted.cif,984
JANZUU_extracted.cif,1018
JAPSUP_extracted.cif,1600
JASZEL_extracted.cif,393
JASZIP_extracted.cif,441
JASZOV_extracted.cif,417
JASZUB_extracted.cif,718
JATBAK_extracted.cif,7184
JEBYUL_extracted.cif,280
JEBZAS_extracted.cif,1428
JEBZAU_extracted.cif,2216
JECZUN_extracted.cif,1140
JEHSAT_extracted.cif,400
JEHSIB_extracted.cif,380
JEHSOH_extracted.cif,328
JEHSUN_extracted.cif,296
JEQJIB_extracted.cif,978
JIBYEB_extracted.cif,1824
JIFTUQ_extracted.cif,4896
JINJOG_extracted.cif,1634
JINJUM_extracted.cif,5200
JOTNAJ_extracted.cif,1508
JOZNAP_extracted.cif,2292
JOZNET_extracted.cif,2212
JOZVUR_extracted.cif,588
JOZWAY_extracted.cif,1906
KAFXAS01_extracted.cif,1464
KAFXAS02_extracted.cif,1560
KAFXAS03_extracted.cif,4544
KAFXAS04_extracted.cif,1440
KAFXAS05_extracted.cif,1464
KAFXAS06_extracted.cif,1464
KAFXAS_extracted.cif,1440
KAVWEM_extracted.cif,1420
KAXNED_extracted.cif,628
KEFPAM_extracted.cif,100
KEHLAL_extracted.cif,2200
KEHLEP_extracted.cif,2184
KEHLIT_extracted.cif,1856
KEMYUY_extracted.cif,634
KEQBEP_extracted.cif,515
KEZQUB_extracted.cif,1424
KEZRIQ_extracted.cif,1428
KEZVEQ_extracted.cif,450
KICROF_extracted.cif,924
KICRUL_extracted.cif,1376
KICSAS_extracted.cif,378
KICSEW_extractedm.cif,2436
KINCES_extracted.cif,316
KINCIW_extracted.cif,232
KINCOC_extracted.cif,396
KOJWUC_extracted.cif,432
KOJXAJ_extracted.cif,1064
KOJXEN_extracted.cif,3232
KOJXIR_extracted.cif,1308
KOJXOX_extracted.cif,1248
KOVZUS_extracted.cif,1006
KOWBAB_extracted.cif,1752
KUJGED_extractedm.cif,2928
KUJGIH_extracted.cif,1820
KULNAH_extracted.cif,1376
LAQMIC_extracted.cif,1454
LARZOU_extracted.cif,358
LARZUA_extracted.cif,1456
LASRUV_extracted.cif,3544
LAVMIG_extracted.cif,788
LAVMOM_extracted.cif,1504
LAXFEX_extracted.cif,1772
LEKPID_extracted.cif,432
LEKPOJ_extracted.cif,720
LEMTON_extracted.cif,1020
LIGMIY_extracted.cif,1072
LIGMUK_extracted.cif,180
LIQQUX_extracted.cif,578
LIWNEM_extracted.cif,1136
LOJKIE_extracted.cif,1014
LOVKAK_extracted.cif,596
LOWJAK_extracted.cif,204
LOXQEW_extracted.cif,1800
LUGDIA_extracted.cif,1316
LUJCAU_extracted.cif,2292
LUNLUB_extracted.cif,150
LUTBEJ_extracted.cif,448
LUWJIW_extracted.cif,1592
LUWJOC_extracted.cif,1580
LUWJUI_extracted.cif,1672
LUWKET_extracted.cif,1444
LUWKIX_extracted.cif,1492
LUXGAN_extracted.cif,431
LUXWAD_extracted.cif,3116
LUXWEH_extracted.cif,3260
LUZJAR_extracted.cif,1617
MAGCEF_extracted.cif,1964
MAQPEA_extracted.cif,1632
MAQPIE_extracted.cif,1762
MAQPOK_extracted.cif,832
MASTUY_extracted.cif,1724
MERCUH_extracted.cif,918
MICKOY_extracted.cif,760
MIJXOT_extracted.cif,1936
MIKHIY_extracted.cif,992
MIQCAQ_extracted.cif,461
MIQCEU_extracted.cif,544
MISMUW_extracted.cif,700
MOKLED_extracted.cif,164
MOQMIO_extracted.cif,554
MOQMOU_extracted.cif,876
MOQMUA_extracted.cif,1156
MORBIG_extracted.cif,126
MUPDUW_extracted.cif,2208
MUZBUG_extracted.cif,494
NABQEO_extracted.cif,804
NACBIF_extracted.cif,964
NACBOL_extracted.cif,2022
NACBUR_extractedm.cif,1640
NACSIT01_extracted.cif,1780
NACSIT_extracted.cif,1768
NAHDEG_extracted.cif,2676
NAPFOB_extracted.cif,276
NAPFUH_extracted.cif,1456
NAPGAO_extracted.cif,578
NAPGES_extracted.cif,2808
NAPGIW_extracted.cif,268
NAPGOC_extracted.cif,314
NAPJIZ_extracted.cif,1760
NAPJOF_extracted.cif,1580
NAPQEC_extracted.cif,352
NATLUQ_extracted.cif,2180
NAVXAL_extracted.cif,420
NEKYUY01_extracted.cif,253
NEKYUY_extracted.cif,253
NEKZAF_extracted.cif,253
NEKZEJ_extracted.cif,253
NEMVEI_extracted.cif,1382
NEPCAN_extracted.cif,1330
NEPCER_extracted.cif,840
NEPCIV_extracted.cif,716
NERDUJ_extracted.cif,148
NERFAR_extracted.cif,296
NERFEV_extracted.cif,296
NERFOF_extracted.cif,154
NERFUL_extracted.cif,348
NERGAS_extracted.cif,392
NEVWAN_extracted.cif,730
NICGUB_extracted.cif,1284
NIGDOY_extracted.cif,448
NIGDUE_extracted.cif,244
NIGFAM_extracted.cif,472
NIHLAS_extracted.cif,348
NIHVOP_extracted.cif,62
NIKPEF_extracted.cif,688
NIKPIJ_extracted.cif,494
NIKPOP_extracted.cif,964
NOFFAQ_extracted.cif,352
NOLTUE_extracted.cif,1088
NOLVAM_extracted.cif,848
NOLVEQ_extracted.cif,1520
NOLVIU_extracted.cif,1540
